"","lab","time","Fe","Mn","NH4","NO3","SO4","alt","donau","ofg","year"
"1","LRD29E",2007-03-14,0.182,57.29,NA,5.832,41.71,1440,701,701,2007
"2","LRD29E",2007-04-18,0.061,38.89,NA,3.111,42.2,1440,701,701,2007
"3","LRD29E",2007-05-23,NA,NA,NA,6.055,40.93,1440,701,701,2007
"4","LRD29E",2007-06-20,0.033,42.36,NA,6.402,40.12,1440,701,701,2007
"5","LRD29E",2007-07-18,NA,36.11,NA,6.763,38.1,1440,701,701,2007
"6","LRD29E",2007-08-22,0.131,71.29,NA,5.867,36.91,1440,701,701,2007
"7","LRD29E",2007-09-19,0.02,19.44,NA,2.891,37.06,1440,701,701,2007
"8","LRD29E",2007-10-17,0.054,NA,NA,2.775,36.37,1440,701,701,2007
"9","LRD29E",2007-11-14,0.055,NA,NA,3.929,37.41,1440,701,701,2007
"10","LRD29E",2008-03-12,0.14,48.61,0.019,4.051,43.86,1440,701,701,2008
"11","LRD29E",2008-04-09,0.039,40.74,0.011,3.584,44.25,1440,701,701,2008
"12","LRD29E",2008-05-15,0.099,41.2,0.018,3.976,44.55,1440,701,701,2008
"13","LRD29E",2008-06-16,0.18,NA,0.016,4.442,43.89,1440,701,701,2008
"14","LRD29E",2008-07-16,NA,NA,0.019,5.621,39.88,1440,701,701,2008
"15","LRD29E",2008-08-13,0.072,NA,0.021,5.398,39.45,1440,701,701,2008
"16","LRD29E",2008-09-17,0.145,50,NA,3.307,35.03,1440,701,701,2008
"17","LRD29E",2008-10-16,0.069,47.22,0.01,4.169,34.33,1440,701,701,2008
"18","LRD29E",2008-11-11,0.062,52.78,NA,3.627,34.94,1440,701,701,2008
"19","LRD29E",2009-03-25,0.024,30.556,0.009,3.106,31.495,1440,701,701,2009
"20","LRD29E",2009-04-22,0.016,28.704,0.013,2.96,32.484,1440,701,701,2009
"21","LRD29E",2009-05-13,NA,NA,0.007,3.146,31.899,1440,701,701,2009
"22","LRD29E",2009-06-17,0.039,NA,0.022,6.243,29.47,1440,701,701,2009
"23","LRD29E",2009-07-22,0.011,NA,0.022,7.227,31.554,1440,701,701,2009
"24","LRD29E",2009-08-19,0.037,30.556,0.021,NA,NA,1440,701,701,2009
"25","LRD29E",2009-09-16,0.022,35.417,0.013,6.087,33.928,1440,701,701,2009
"26","LRD29E",2009-10-14,0.348,54.63,0.01,4.035,34.419,1440,701,701,2009
"27","LRD29E",2009-11-10,0.161,36.574,NA,5.203,34.904,1440,701,701,2009
"28","LRD29E",2010-03-24,0.109,NA,NA,3.932,38.9,1440,701,701,2010
"29","LRD29E",2010-04-14,0.033,NA,NA,3.797,36.9,1440,701,701,2010
"30","LRD29E",2010-05-19,0.036,NA,NA,4.437,35.13,1440,701,701,2010
"31","LRD29E",2010-06-16,0.098,NA,NA,7.284,37.73,1440,701,701,2010
"32","LRD29E",2010-07-14,0.077,NA,NA,7.326,37.12,1440,701,701,2010
"33","LRD29E",2010-08-18,0.081,36.11,NA,3.515,47.62,1440,701,701,2010
"34","LRD29E",2010-09-15,0.156,42.59,NA,3.789,40.38,1440,701,701,2010
"35","LRD29E",2010-10-13,0.049,41.67,NA,3.69,39.99,1440,701,701,2010
"36","LRD29E",2010-11-09,0.043,47.22,0.006,3.167,39.85,1440,701,701,2010
"37","LRD29E",2011-03-23,0.695,NA,NA,4.661,39.17,1440,701,701,2011
"38","LRD29E",2011-04-14,0.019,NA,NA,4.599,39.79,1440,701,701,2011
"39","LRD29E",2011-05-17,0.063,NA,NA,5.066,40.33,1440,701,701,2011
"40","LRD29E",2011-06-16,NA,NA,NA,7.648,41.19,1440,701,701,2011
"41","LRD29E",2011-07-18,NA,NA,NA,7.787,42.59,1440,701,701,2011
"42","LRD29E",2011-08-25,NA,31.94,NA,6.664,40.49,1440,701,701,2011
"43","LRD29E",2011-09-15,NA,34.72,NA,4.891,41.03,1440,701,701,2011
"44","LRD29E",2011-10-12,NA,33.33,0.015,4.315,39.91,1440,701,701,2011
"45","LRD29E",2011-11-14,0.045,48.61,0.008,3.689,38.21,1440,701,701,2011
"46","LRD29E",2011-12-12,0.045,35.18,0.007,3.446,36.73,1440,701,701,2011
"47","LRD29E",2012-01-16,0.028,21.4,0.01,4.865,13.539,1440,701,701,2012
"48","LRD29E",2012-02-13,0.028,26.7,0.006,3.482,35.157,1440,701,701,2012
"49","LRD29E",2012-03-19,0.015,23,0.01,4.845,34.998,1440,701,701,2012
"50","LRD29E",2012-04-09,0.016,23.1,NA,5.139,34.723,1440,701,701,2012
"51","LRD29E",2012-05-07,0.015,21.8,0.006,6.297,33.554,1440,701,701,2012
"52","LRD29E",2012-06-11,0.016,21.7,NA,7.189,32.517,1440,701,701,2012
"53","LRD29E",2012-07-16,0.035,21.9,0.012,6.523,30.32,1440,701,701,2012
"54","LRD29E",2012-08-20,0.052,30.2,NA,4.898,28.232,1440,701,701,2012
"55","LRD29E",2012-09-10,0.027,24.6,0.014,4.738,26.954,1440,701,701,2012
"56","LRD29E",2012-10-15,0.014,23.1,NA,4.597,26.128,1440,701,701,2012
"57","LRD29E",2012-11-12,0.03,20.5,0.008,3.987,25.651,1440,701,701,2012
"58","LRD29E",2012-12-10,0.012,23.9,NA,3.302,26.378,1440,701,701,2012
"59","LRD41",2005-06-15,NA,NA,NA,1.898,52.94,753,1374,753,2005
"60","LRD41",2005-08-11,NA,NA,NA,1.571,46.83,753,1374,753,2005
"61","LRD41",2005-09-14,NA,NA,0.013,2.228,43.66,753,1374,753,2005
"62","LRD41",2005-10-12,NA,NA,0.015,1.377,85.6,753,1374,753,2005
"63","LRD41",2006-05-31,NA,60,0.022,11.886,40.34,753,1374,753,2006
"64","LRD41",2006-06-27,0.899,49,0.049,10.524,46.32,753,1374,753,2006
"65","LRD41",2006-08-22,0.459,17.25,0.037,10.078,39.44,753,1374,753,2006
"66","LRD41",2006-09-19,0.162,NA,0.034,4.382,39.95,753,1374,753,2006
"67","LRD41",2007-03-14,0.494,44.79,NA,0.575,31.73,753,1374,753,2007
"68","LRD41",2007-04-18,5.563,109.72,NA,0.742,33.26,753,1374,753,2007
"69","LRD41",2007-05-23,0.164,NA,NA,0.818,33.17,753,1374,753,2007
"70","LRD41",2007-06-20,0.51,47.92,NA,0.894,30.09,753,1374,753,2007
"71","LRD41",2007-08-22,0.877,43.51,NA,0.61,27.19,753,1374,753,2007
"72","LRD41",2007-09-19,0.363,22.22,NA,3.62,30.66,753,1374,753,2007
"73","LRD41",2007-10-17,0.201,NA,NA,3.706,29.75,753,1374,753,2007
"74","LRD41",2007-11-14,0.43,NA,NA,2.304,29.67,753,1374,753,2007
"75","LRD41",2008-03-12,0.148,NA,0.029,1.451,30.65,753,1374,753,2008
"76","LRD41",2008-04-09,0.141,NA,0.021,2.135,26.61,753,1374,753,2008
"77","LRD41",2008-05-15,0.946,46.76,0.019,2.819,25.83,753,1374,753,2008
"78","LRD41",2008-06-16,0.405,NA,0.021,1.846,27.1,753,1374,753,2008
"79","LRD41",2008-07-16,0.051,NA,0.021,2.884,28.11,753,1374,753,2008
"80","LRD41",2008-08-13,0.473,NA,0.031,4.719,29.42,753,1374,753,2008
"81","LRD41",2008-09-17,0.106,NA,0.015,1.219,23.41,753,1374,753,2008
"82","LRD41",2008-10-16,0.134,11.11,0.024,1.009,24.99,753,1374,753,2008
"83","LRD41",2008-11-11,0.091,12.5,0.014,1.107,22.21,753,1374,753,2008
"84","LRD41",2009-03-25,0.332,16.667,0.025,0.922,18.936,753,1374,753,2009
"85","LRD41",2009-04-22,0.164,NA,0.024,2.351,22.004,753,1374,753,2009
"86","LRD41",2009-05-13,0.367,NA,0.022,1.944,19.569,753,1374,753,2009
"87","LRD41",2009-06-17,0.274,NA,0.017,1.222,18.431,753,1374,753,2009
"88","LRD41",2009-07-22,0.411,18.056,0.017,13.053,24.179,753,1374,753,2009
"89","LRD41",2009-08-19,0.04,NA,0.023,5.554,24.921,753,1374,753,2009
"90","LRD41",2009-09-16,0.109,NA,0.032,12.858,27.262,753,1374,753,2009
"91","LRD41",2009-10-14,0.931,51.852,0.016,7.536,26.72,753,1374,753,2009
"92","LRD41",2009-11-10,0.14,NA,0.018,5.073,25.098,753,1374,753,2009
"93","LRD41",2010-03-24,0.427,NA,NA,1.548,24.52,753,1374,753,2010
"94","LRD41",2010-04-14,0.219,NA,NA,1.392,25.24,753,1374,753,2010
"95","LRD41",2010-05-19,0.455,NA,0.007,1.615,23.04,753,1374,753,2010
"96","LRD41",2010-06-16,0.09,NA,NA,9.538,26.92,753,1374,753,2010
